config,arm,run,cls,vf,flow,gbps,tcp_retrans
band47-96,sr,2,tcp,2,1,6.378,4805
band47-96,sr,2,tcp,2,2,7.399,6511
band47-96,sr,2,tcp,2,3,5.868,5283
band47-96,sr,2,rdma,3,0,0.053,
band47-96,sr,2,rdma,3,1,0.053,
band47-96,sr,2,rdma,3,2,0.053,
band47-96,sr,2,rdma,3,3,0.053,
band47-96,sr,2,tcp,3,0,4.057,4791
band47-96,sr,2,tcp,3,1,3.864,4990
band47-96,sr,2,tcp,3,2,6.324,4219
band47-96,sr,2,tcp,3,3,6.17,5043
band47-96,sr,3,rdma,0,0,0.13,
band47-96,sr,3,rdma,0,1,0.13,
band47-96,sr,3,rdma,0,2,0.13,
band47-96,sr,3,rdma,0,3,0.13,
band47-96,sr,3,tcp,0,0,4.161,10001
band47-96,sr,3,tcp,0,1,4.184,10105
band47-96,sr,3,tcp,0,2,5.976,4827
band47-96,sr,3,tcp,0,3,6.59,5692
band47-96,sr,3,rdma,1,0,0.13,
band47-96,sr,3,rdma,1,1,0.13,
band47-96,sr,3,rdma,1,2,0.13,
band47-96,sr,3,rdma,1,3,0.13,
band47-96,sr,3,tcp,1,0,4.563,9197
band47-96,sr,3,tcp,1,1,4.772,9017
band47-96,sr,3,tcp,1,2,6.461,4436
band47-96,sr,3,tcp,1,3,7.602,4283
band47-96,sr,3,rdma,2,0,0.13,
band47-96,sr,3,rdma,2,1,0.13,
band47-96,sr,3,rdma,2,2,0.13,
band47-96,sr,3,rdma,2,3,0.13,
