ts_ns,gbps
1783088364348608232,0.976
1783088364353622236,0.964
1783088364358614141,0.968
1783088364363606773,0.978
1783088364368606521,0.966
1783088364373613289,0.965
1783088364378610162,0.977
1783088364383610144,0.966
1783088364388607577,0.967
1783088364393615936,0.975
1783088364398612466,0.967
1783088364403610980,0.967
1783088364408607844,0.967
1783088364413615904,0.975
1783088364418612160,0.967
1783088364423609760,0.967
1783088364428607387,0.967
1783088364433613007,0.976
1783088364438610237,0.967
1783088364443608869,0.967
1783088364448606075,0.977
1783088364453617153,0.964
1783088364458612056,0.967
1783088364463608409,0.977
1783088364468608184,0.966
1783088364473617078,0.964
1783088364478609896,0.978
1783088364483608934,0.966
1783088364488606836,0.967
1783088364493613018,0.965
1783088364498615136,0.976
1783088364503613363,0.967
1783088364508611777,0.967
1783088364513612027,0.977
1783088364518614083,0.966
1783088364523609796,0.967
1783088364528614712,0.976
1783088364533619910,0.965
1783088364538613850,0.967
1783088364543610700,0.967
1783088364548609898,0.977
1783088364553614936,0.965
1783088364558612142,0.967
1783088364563612124,0.977
1783088364568611022,0.966
1783088364573612588,0.966
1783088364578612535,0.968
1783088364583612324,0.977
1783088364588611309,0.966
1783088364593610917,0.966
1783088364598613046,0.976
1783088364603613817,0.966
1783088364608612768,0.966
1783088364613612030,0.968
1783088364618619278,0.975
1783088364623612190,0.968
1783088364628612035,0.966
1783088364633613322,0.976
1783088364638617789,0.965
1783088364643617429,0.966
1783088364648616155,0.970
1783088364653630158,0.970
1783088364658620013,0.968
1783088364663616002,0.967
1783088364668613389,0.977
1783088364673612876,0.966
1783088364678620370,0.965
1783088364683613563,0.978
1783088364688610886,0.967
1783088364693613957,0.966
1783088364698617218,0.966
1783088364703624694,0.975
1783088364708615299,0.968
1783088364713624797,0.975
1783088364718616835,0.968
1783088364723616025,0.966
1783088364728616125,0.968
1783088364733628449,0.974
1783088364738622183,0.967
1783088364743614881,0.968
1783088364748614499,0.966
1783088364753948096,0.974
1783088364758632433,0.965
1783088364763617054,0.969
1783088364768615252,0.967
1783088364773622630,0.975
1783088364778622233,0.966
1783088364783615270,0.968
1783088364788615303,0.977
1783088364793624247,0.965
1783088364798619631,0.967
1783088364803617795,0.977
1783088364808615589,0.967
